text,label,label_text
"Lower back pain. What's stronger than ibuprofen?
TLDR
Taking Ibuprofen for lower back pain. Doesnt work too well. What's a stronger OTC med? Or will I have to get a prescription med?

\

M/48yo

On March 5th I was making the bed. Was leaning over to tuck the sheet under the mattress and BANG came the sudden lower back spasm.

Hurts like hell now. Agony to get out of bed (takes me 30 minutes).

Once I'm up I can shuffle walk, tiny steps. Can't bend.

I'm taking Ibuprofen. 1 x 400mg capsule/8 hrs.

It does help but the stabbing red hot poker pain that comes when I turn in bed or sit down/get up from a chair is still there.

Is ibuprofen the strongest OTC med I can get. If I go to a doc what is likely to be prescribed to knock more pain away?

Also - is the pain going a hang around for months? How long do these sprain type episodes take to go away? Lying down is torture. If I could sleep standing up I would.

Thx for any info.",1,relevant
"Back pain leading to depression and overeating
I’ve been dealing with back pain for over 5 years. I’ve always enjoyed working out but during flare ups that’s not possible. I’ve done a lot of PT but still hasn’t solved it.

I’m an emotional eater so use that to cope, but it probably continues to make it worse since sugar triggers inflammation. But it’s the only thing that mentally makes me feel better. just don’t really care any more, it’s frustrating.

Anyone with similar experiences, and if so how did you overcome it? Thank you",0,irrelevant
"Pain medication for herniated disc flare up?
Hi, I've got herniated L4, L5 & S1 discs with a horrific flare up at the moment. Just wondering what medications people take for pain relief when it gets really bad. I'm currently taking ibuprofen and tramadol slow release but is there anything more effective for back pain that I should know about? Nothing that ""zonks"" me though! I'm seeing my doctor tomorrow in a hope to better manage this pain. I'm struggling to look after my one year old daughter :(",1,relevant
"Anyone else get chills (or sweats) with their migraines?
I swear I feel like I have a fever when I'm migrainey. It genuinely doesn't feel different than when I've had cellulitis, an appendix tumor, or Covid. But I take my temp and it's normal.

Currently shivering with an all-day migraine that I'm pretty sure started yesterday.",1,relevant
"How to get accusations for being off camera
I wfh and feel very blessed. So far my job doesn't require on camera meetings. Being on camera drains me , not sure why and I get migraines if we have lengthy meetings. This was always ok but new Mgr wants to push for more on screen. I explained I'd rather not trigger one and lose productivity over meetings that I can attend in dark rooms. Do I have a shot at getting a note for these accomodations?",0,irrelevant
"I had my first migraine since giving birth with my LO last week and it was awful. He's only 10 weeks so he's pretty attached to me all day.

We spent most of the day playing in bed so I could lie down, and we had a bath just to break up the day. I was really lucky he wasn't super fussy that day and only needed one little walk around in the sling to calm down.

What really helped was that before my husband started work he put everything I would need in arms reach of the bed. I EBF so that was covered, but he made sure nappies, toys, food etc were all there. Then when he finished work he took over right away.",0,irrelevant
"
I’ve found high doses of magnesium actually work for me when I’m getting a migraine. I also regularly supplement with it as it seems to be related to my migraines.

I know migraines are super complicated so this may not be a simple fix but thought I’d pass it along!",1,relevant
"What do you do when you are in bed with a migraine on a rainy day?
I just watched the part when Eowyn gives Aragorn stew. I've always wondered, how do you make stew that is that bad, unless the meat is spoiled?",0,irrelevant
"Post your worst food poisoning stories while abroad
I’m currently in Peru, and today was bad. Currently recovering from food poisoning most likely from dinner last night. I haven’t gotten food poisoning this bad in probably 6-7 years, and I’m feeling down. I know this is part of traveling internationally, so let me hear the stories!",0,irrelevant
"How do I treat food poisoning?
I’m thinking of going tomorrow morning if I’m still not feeling well. I believe my food poisoning is from undercooked bacon from subway. I ate a full 6 inch sandwich and didn’t realize the bacon was undercooked. I’ve been feeling like crap since yesterday night at around 3am. I mostly had stomach pain and soft stool. I went to the urgent care and was given meds for the stomach pain. But because my heart rate is a bit high and because of my symptoms they recommended I go to the ER if I get worse. I plan to tomorrow morning.

I haven’t felt like eating solid foods today at all so it’s been mostly jello and bananas, water and Gatorade. The diarrhea started a few hours ago and had been somewhat nonstop. I went to the bathroom expecting to have diarrhea and it turned into me also vomiting. Any ideas on how I could treat this?",1,relevant
"AITA for taking a sick day for period cramps
I woke up in the morning with horrific period cramps. I always get them the worst on the first day of the period, and then they get better as it goes. It also always starts at 2am. So i woke up at 2am with cramps, knew my period was coming, went and put a pad on and got back into bed. Usually putting a pad on makes the cramps less severe, i think its probably a mental thing but it works. However, this time it didnt. They were so bad that i couldnt get to sleep. And they werent just the achey cramps, they were the sharp ones that feel like getting stabbed in the vagina every time you move. I was awake the entire night, even on painkillers. My alarm went off at 7:30 and i was exhausted. I got up for a shower and my insides felt like they were being squeezed super hard. I just dropped back down onto my bed, grabbed my phone and called in sick to work. They asked the reason and i was honest. I said i had horrific cramps and the person on the phone went ""oh. Right... okay"" and put me down as sick.

Half way through the day the cramps eased enough to get out of bed and i went to the shop to get some more pads as i was running low. At the shop i saw my coworker buying lunch. He raised his eyebrows at me and shook his head. I even held up my packet of pads to show him i was there for a valid reason. But he didnt say anything and left to go back to work.

This evening i have been berated by my boss for missing work for a non valid reason and that if i was well enough to go to the shops, i was well enough to go into work. So obviously my coworker ""snitched""

So are period cramps not a valid reason? If i had a stomach ache they would let me stay home. Am i seriously an asshole for staying home?",0,irrelevant
"10 hours of sleep
So i finally went to the dr. for my migraine. Cause its been really bad for a long time and 1-2 times a week so bad, where i can barely keep it together. This week i decided to go to bed at like 7:45pm every night. So i ended up sleeping around 10 hours every night this week and today around 11 hours. I noticed that for the first time in forever, i haven’t gotten a headache or anything for a week. Im guessing its because i’ve been sleeping so much.. I usually tried to get around 8 - 8.5 hours of sleep, when i have work and that gives me migraines/headaches. Why is it, that i haven’t gotten any headaches this week, just because i slept around 10 hours every night. If this is the case. I cant go to bed at like 7:45pm every night.. Is this normal?",0,irrelevant
"
I am very sorry. It’s extremely difficult and the worst is when others don’t understand or are inconsiderate. I would talk to your roommate if you feel receptive to that. You shouldn’t have to go through that.

I just want to say I am also studying for the LSAT and the fact that you got into law school is such an inspiration to me. What a win and I hope you celebrate very soon!! Congratulations!!",0,irrelevant
"Nausea has been a new symptom for me since last year. I know a migraine attack is incoming when I start getting nauseous along with blurred vision. Oh the joy of anticipation!

I usually drink hot water with one whole lemon juice, honey and 1-2 knobs of crushed fresh ginger. There is also this candy which is made with just ginger and sugar, not sure if it's readily available where you are but maybe you can check recipes online .

Wishing a quick recovery to both of us. :)",1,relevant
"The other night, my wife (29F), son (13m) and I (30m) went to my parent’s house for dinner. While we were there, our son started to develop a headache. It was no big deal at first, they gave him some ibuprofen. About thirty minutes later though, he had his head buried in the couch begging us to go home because he was in too much pain. We decided to go home, and he curled up in the backseat of the car holding his head. When we got home, he refused to move, saying that lifting his head hurt too much and he felt dizzy when he did it. I carried him in and put him on his bed. When my wife and I started getting ready for bed, she rubbed his back and asked him to change for bed so he’d be more comfortable. He just mumbled before falling back asleep. We both tried a few more times before giving up and showering. When I finished, I just decided to undress him and cover him up. She walked in as I was doing it and snapped at me, she told me It was a massive invasion of his privacy and was totally wrong. I finished though and tucked him in. He hasn’t said anything about it to either of us, but my wife has been telling me to apologize to him for being invasive and weird. AITA?",0,irrelevant
"Feeling so isolated
Almost 1 year since my ruptured aneurysm. Its been a rocky road to say the least but i am extremely grateful to b a live. One down side is that my relationship with my immediate ppl i see have changed. They do not understand what it truly means to have low energy. My husband he surely cant understand why some days i can not go with him places. He thinks its very simple just get up walk to car n sit in it , whats so hard about that. Instead feel like they are forgetting i did not choose this, . Am i wrong for being upset that my 13th anniversary was yesterday and i did put together a small but meaningful gift to give him. He got me nothing not even a card he claims money is tight. He planned nothing because i never want to go anywhere or i may get a headache. I explained that he knew it was coming up he could have put a few dollars aside here n there for the last 30 days gotten me a card n write something to me n i would have loved it. Am i wrong for being upset for him not trying to celebrate within my limits. I feel like they are acting like they are the victims. N im the bad guy. I feel like i am being blamed for everything that am now because of the aneurysm. I want to know if anyone has had similar experiences.",0,irrelevant
"Mom almost died from one & her dad died from one, aunt has small one & I keep getting concussions. Referred to a neuro
Mom almost died from a rupture when I was growing up, her dad dropped from one when she was 16. This made my aunt get screened and she has a small one. Not sure about anyone else in the family tho. I have bad luck and keep whacking my head (7+ concussions in my lifetime 3 in the last year) and things just keep getting worse. Im going to a specialized concussion clinic but I’m wondering if they are going to ask about my family history. Some uncle also had neurofibromatosis with all the boils on his skin and when he passed I think I remember reading something about genetic. Should I expect these questions? TIA. I never thought of this until now.",0,irrelevant
